Kode Properti,Kecamatan, Price , Price_Sudah ,Kamar Tidur,Kamar Mandi,Luas Tanah,Luas Bangunan,Sertifikat,Daya Listrik,Ruang Tamu,Jumlah Lantai,Terjangkau Internet,Kondisi Properti
P171,wiyung,775000000 ,775 ,3,2,123,80,SHM - Sertifikat Hak Milik,1300,1,2,1,2
P172,benowo,775000000 ,775 ,2,2,137,95,SHM - Sertifikat Hak Milik,2200,1,1,0,2
P173,lakarsantri,780000000 ,780 ,2,2,90,80,SHM - Sertifikat Hak Milik,2200,0,1,0,2
P174,rungkut,783000000 ,783 ,3,2,55,55,SHM - Sertifikat Hak Milik,1300,1,2,1,4
P175,pakal,785000000 ,785 ,2,1,72,58,SHM - Sertifikat Hak Milik,1300,0,1,0,2
P176,pakal,785000000 ,785 ,2,1,72,58,SHM - Sertifikat Hak Milik,1300,0,1,0,2
P177,pakal,785000000 ,785 ,2,1,72,58,SHM - Sertifikat Hak Milik,1300,0,1,0,2
P178,pakal,785000000 ,785 ,2,1,72,58,SHM - Sertifikat Hak Milik,1300,0,1,0,2
P179,pakal,785000000 ,785 ,2,1,72,58,SHM - Sertifikat Hak Milik,1300,0,1,0,2
P180,pakal,785000000 ,785 ,2,1,72,58,SHM - Sertifikat Hak Milik,1300,0,1,0,2
P181,pakal,785000000 ,785 ,2,1,72,58,SHM - Sertifikat Hak Milik,1300,0,1,0,2
P182,pakal,785000000 ,785 ,2,1,72,58,SHM - Sertifikat Hak Milik,1300,1,1,0,2
P183,rungkut,785000000 ,785 ,2,1,100,50,SHM - Sertifikat Hak Milik,1300,1,1,1,4
P184,pakal,790000000 ,790 ,1,1,72,50,HGB - Hak Guna Bangunan,1300,0,1,1,4
P185,tandes,790000000 ,790 ,3,2,78,114,SHM - Sertifikat Hak Milik,2200,0,1,1,3
P186,sambikerep,790000000 ,790 ,3,2,102,125,"Lainnya (PPJB,Girik,Adat,dll)",1300,1,2,1,2
P187,gubeng,795000000 ,795 ,6,3,55,55,"Lainnya (PPJB,Girik,Adat,dll)",1300,1,2,1,2
P188,kenjeran,795000000 ,795 ,3,2,65,75,SHM - Sertifikat Hak Milik,1300,1,2,1,4
P189,rungkut,795000000 ,795 ,4,3,79,120,SHM - Sertifikat Hak Milik,2200,1,2,1,4
P190,rungkut,795000000 ,795 ,5,2,81,120,SHM - Sertifikat Hak Milik,2200,0,2,0,4
P191,wiyung,795000000 ,795 ,3,3,84,111,SHM - Sertifikat Hak Milik,2200,0,2,0,4
P192,rungkut,795000000 ,795 ,3,1,100,55,SHM - Sertifikat Hak Milik,1300,1,1,1,4
P193,rungkut,795000000 ,795 ,3,1,100,55,SHM - Sertifikat Hak Milik,1300,1,1,1,4
P194,rungkut,795000000 ,795 ,3,1,100,55,SHM - Sertifikat Hak Milik,1300,1,1,1,4
P195,rungkut,795000000 ,795 ,3,1,100,55,SHM - Sertifikat Hak Milik,1300,1,1,1,4
P196,rungkut,795000000 ,795 ,2,1,100,55,SHM - Sertifikat Hak Milik,1300,1,1,1,4
P197,gayungan,795000000 ,795 ,5,2,131,150,SHM - Sertifikat Hak Milik,2200,1,2,1,2
P198,rungkut,799000000 ,799 ,3,3,52,72,SHM - Sertifikat Hak Milik,1300,1,2,1,2
P199,rungkut,799000000 ,799 ,3,3,52,72,SHM - Sertifikat Hak Milik,1300,1,2,1,2
P200,tandes,799000000 ,799 ,3,1,84,84,SHM - Sertifikat Hak Milik,2200,0,1,1,2
P201,dukuh pakis,800000000 ,800 ,2,2,45,60,SHM - Sertifikat Hak Milik,1300,1,1,1,4
P202,gubeng,800000000 ,800 ,2,2,45,60,SHM - Sertifikat Hak Milik,1300,1,1,1,4
P203,mulyorejo,800000000 ,800 ,2,1,45,50,SHM - Sertifikat Hak Milik,1300,1,2,1,4
